지역명,average return (%),average gain and loss (unit: 10000won),median return (%),median gain and loss (unit: 10000won),bottom 25% return (%),bottom 25% gain and loss (unit: 10000won),top 25% return (%),top 25% gain and loss (unit: 10000won),local_name,특수목적고 진학 합계 (명),특목고 합격 비율 (%),middle school rating,high school rating,middle + high school rating,average price (unit:10000won),median price (unit:10000won),bottom 25% price (unit:10000won),top 25% price (unit:10000won),Number of jobs by withholding region,salary per person by withholding region,salary per person by residence
서초구,65.8,68869,71.1,68585,53.8,42000,80.7,98000,Seocho-gu,189,5.02,4600,13562,21657.18,173495,165000,120000,219500,472357,4010.6,6837.9
강남구,59,64292,57,63500,57.7,50750,57.2,74225,Gangnam-gu,281,5.53,6540,12406,21233.74,173212,175000,138750,204000,941482,3626,7007.8
분당구,45.6,28681,49.2,29500,45.6,25000,44.3,31000,Bundang-gu,415,7.68,9830,10906,21155.64,91587,89500,79800,101000,411406,4150.4,4489
양천구,52.7,25163,50.4,22800,47,17150,60.7,34000,Yangcheon-gu,274,4.77,6280,11926,20407.94,72874,68000,53650,90000,74582,3151.8,4263.2
일산동구,10.1,3555,-0.6,-200,2.5,750,7.9,3150,Ilsandong-gu,173,6.27,5030,10633,17848.17,38723,33800,30825,42875,215508,2746.9,3683.3
광진구,55.2,34087,60.4,36350,63,33425,57.2,38950,Gwangjin-gu,129,4.88,3460,10641,16901.59,95817,96500,86500,107000,85424,2893.7,3539.2
일산서구,-7.4,-2324,-11.1,-3370,-8.1,-2200,-14.2,-5100,Ilsanseo-gu,256,7.59,6280,9002,16343.58,29083,27100,24800,30900,215508,2746.9,3683.3
과천시,55.7,44620,59.3,46250,56.2,43225,57.5,46750,Gwacheon-si,65,9.95,2920,10443,16296.97,124707,124250,120125,128000,46198,3865.4,5355.4
동안구,25.5,11070,25.6,11000,15.4,6000,26.6,12575,Dongan-gu,220,5.71,5610,8962,15879.28,54440,54000,45000,59850,191686,3363.1,3708.6
강북구,37.1,14801,30,12000,29.1,10175,51.6,22200,Gangbuk-gu,141,6.07,3600,9825,15852.75,54734,52000,45100,65250,38730,2503,2698.8
수지구,29.3,12304,22.5,9300,16.1,6000,30.5,13975,Suji-gu,194,5.46,4830,9243,15794.07,54346,50700,43275,59775,286682,3968.6,4345.5
송파구,55.8,41108,50.4,32750,51.1,29075,63.7,59375,Songpa-gu,334,5.87,7660,7716,15397.84,114740,97750,85975,152625,331623,3436.3,4655.6
서대문구,61.5,30626,60.9,29400,47.5,19313,71.4,39575,Seodaemun-gu,84,3.74,2430,9507,14697.03,80463,77700,60000,95000,84358,3974,3737.6
영등포구,65.3,32787,60,29400,50.7,22550,81.7,44750,Yeongdeungpo-gu,79,3.69,2420,9142,14183.58,83025,78400,67050,99500,527939,4725.1,3980.4
덕양구,24,7977,23.8,7800,14.7,4075,36.8,13625,Deogyang-gu,206,5.36,5200,7737,13926.43,41186,40600,31775,50625,215508,2746.9,3683.3
강동구,47,24645,49.8,24900,44.6,20050,46,27400,Gangdong-gu,127,3.58,3430,8437,13819.73,77052,74900,65000,87000,109562,3609.9,3616.1
의왕시,11.9,5208,7.4,3350,5.7,2000,17.1,8850,Uiwang-si,68,5.67,2320,8913,13804.27,48832,48350,37000,60475,35767,3365.1,3767.8
군포시,5.2,1927,0,0,3.6,1175,-0.6,-225,Gunpo-si,129,4.75,3730,7451,12632.19,38942,36000,34000,40050,71429,3049.1,3582.5
노원구,34.2,14192,36.3,15000,30.8,11313,37,16925,Nowon-gu,287,4.84,6820,6013,12518.27,55736,56275,47988,62725,77795,2796.7,3544.6
김포시,21.1,5723,17.6,4850,27.4,6025,20.6,6500,Gimpo-si,138,3.88,3570,6945,11831.25,32877,32350,28000,38000,135348,2848.9,3323.7
성북구,43.8,19814,42.7,19150,41.9,16750,52.7,25700,Seongbuk-gu,144,4.27,3580,6880,11747,65038,64000,56750,74500,76939,3093.1,3736.3
광명시,32.3,15534,28.1,13150,17.8,7700,46.7,25450,Gwangmyeong-si,84,2.7,2900,7100,11638,63557,59950,51000,80000,65938,3476.3,3441.9
영통구,21,8154,10.6,3750,-1.3,-400,27.9,12000,Yeongtong-gu,186,4.35,4430,6342,11517.68,46979,39100,31000,55000,414589,5346.7,3923.8
강서구,35.4,18072,32.3,16100,34.1,14500,33.8,19950,Gangseo-gu,174,4.54,4150,6399,11426.11,69160,66000,57000,78950,214753,3627.4,3454.1
만안구,27.4,9921,26.1,9000,17.2,5150,41.9,16700,Manan-gu,54,3.15,1760,7367,11313.73,46093,43500,35150,56600,191686,3363.1,3708.6
도봉구,27.3,9862,22.8,7700,21,6500,28.6,12000,Dobong-gu,140,5.44,3650,6396,11116.94,46051,41500,37500,54000,44574,2506.4,3019.6
수정구,59,25522,42.3,16500,18.2,6700,118.4,55650,Sujeong-gu,27,1.73,600,7508,10802.12,68768,55500,43500,102650,411406,4150.4,4489
종로구,72.1,42937,50.2,29600,54.6,29500,115.9,76500,Jongno-gu,53,4.84,1950,6909,10793.01,102465,88600,83500,142500,379727,4716.4,4644.8
부천시,20.9,7704,20.4,7450,19.8,6450,21.3,8775,Bucheon-si,209,3.06,4750,5601,10682.89,44530,44000,38950,50000,199562,2834.2,3042.8
상록구,0.7,201,-0.2,-50,-7.5,-1900,-4.5,-1375,Sangrok-gu,103,2.95,2260,6452,10346.88,28183,26950,23500,29125,254695,3285.8,2978.6
구로구,42.8,18944,35.5,15600,35.1,13000,54.6,26750,Guro-gu,88,3.08,2360,6365,10286.95,63208,59600,50000,75750,195735,3099.8,3240.7
화성시,37.7,9868,32.1,7850,5.8,1225,60,16500,Hwaseong-si,167,2.5,3620,5707,10140.93,36054,32300,22225,44000,369318,3769,4187.4
양평군,8.6,2046,17.1,3700,24,4325,-3.3,-975,Yangpyeong-gun,8,0.95,280,7094,10031.46,25832,25400,22325,29025,17821,2807,3393.5
중랑구,37.5,14450,39.5,15000,35.7,12350,38.9,16350,Jungnang-gu,59,2.31,2040,6310,10015.3,53026,53000,46975,58350,54870,2687.5,2775.5
양주시,6.6,1273,1,200,3.9,650,8.8,1900,Yangju-si,41,2.03,1210,6657,9991.33,20516,19500,17150,23400,65757,2633.9,2682.9
마포구,56.1,37254,47.3,30500,48.4,27725,68,52000,Mapo-gu,81,3.23,2370,6025,9820.45,103608,95000,85000,128500,253632,3324.8,4260.6
동작구,51.3,31088,51.3,30500,50.2,26375,50.8,35450,Dongjak-gu,94,3.33,2580,5867,9728.93,91744,90000,78875,105250,81275,3367.5,3829.5
기흥구,12.1,3796,3.5,1100,-5.3,-1450,24.6,8500,Giheung-gu,137,3.19,3560,5302,9541.38,35261,32100,26000,43000,286682,3968.6,4345.5
남양주시,14.7,4063,7.4,2000,7.8,1775,19.4,6000,Namyangju-si,106,1.67,2400,5777,9494.03,31687,29000,24475,37000,121410,2510.4,3083.9
장안구,13.3,4189,9,2800,7.5,2100,18.7,6450,Jangan-gu,110,4.08,3020,5468,9442.72,35737,33800,30000,41000,414589,5346.7,3923.8
연천군,0.2,39,11.3,1800,-9.4,-1500,5.9,1000,Yeoncheon-gun,4,1.16,230,6566,9267.04,16380,17800,14400,18000,9612,2850.1,2987.5
구리시,31.2,11650,33.7,12350,25.3,8275,30.4,12575,Guri-si,67,3.47,2060,5749,9247.71,48973,49000,41000,54000,37058,2660.6,3266
성동구,59.7,37189,59.2,35500,64.2,33238,61.9,44750,Seongdong-gu,62,3.38,1790,5849,9222.01,99474,95500,85000,117000,213233,3312.5,4223.4
파주시,5.7,1407,-0.2,-50,6.7,1325,9.1,2500,Paju-si,123,2.94,2850,5302,9108.28,25944,24550,21238,30000,133110,2810,3294.8
동대문구,54.4,25151,51.2,22000,43,17200,71.6,36500,Dongdaemun-gu,95,3.85,2500,5232,8797.48,71426,65000,57200,87500,100715,3065.7,3207
단원구,8.7,2751,-0.2,-75,-7.1,-2050,12,4038,Danwon-gu,73,2.05,2050,5274,8581.36,34418,31200,27000,37700,254695,3285.8,2978.6
중원구,16.9,7193,20,8100,18.8,6500,17.2,8200,Jungwon-gu,28,1.61,860,5531,8212.69,49793,48700,41000,56000,411406,4150.4,4489
의정부시,11.8,3062,8.8,2250,3.8,875,19.9,5600,Uijeongbu-si,119,2.69,2810,4279,7661.91,29000,27825,24175,33800,91796,4568.4,3535
동두천시,-3.3,-568,-6.4,-1100,-7.3,-1150,5.5,1100,Dongducheon-si,35,4.22,1480,4833,7620.67,16720,16200,14500,20950,18706,2628.7,2555.1
용산구,58.6,42773,54.6,40100,64.2,38500,54.8,46000,Yongsan-gu,33,2.45,1590,4602,7366.68,115746,113500,98500,130000,437702,3894.5,5713.3
광주시,22.7,5583,10.7,2600,4.3,900,32.5,8625,Gwangju-si,40,1.65,1020,4638,7069.02,30180,26850,21800,35125,108095,2864,2919.7
하남시,40.6,17235,51.6,20700,36.2,12550,39,19500,Hanam-si,24,1.59,750,4658,6932.12,59661,60800,47200,69500,54452,2715.7,3634.8
팔달구,16.7,5317,19.9,6375,5.4,1550,15.1,5475,Paldal-gu,41,2.05,1340,4287,6776.33,37202,38375,30250,41700,414589,5346.7,3923.8
평택시,-4,-921,-3.6,-800,-15.4,-3000,-4.4,-1209,Pyeongtaek-si,52,1.1,1310,4056,6436.94,22038,21200,16500,26288,179657,3668.8,3412.8
가평군,-0.4,-88,6.1,1250,-12.9,-2400,4.1,950,Gapyeong-gun,57,10.36,2880,3205,6211.75,20590,21850,16175,24000,13910,2883.5,2978.1
포천시,-0.3,-60,-4.1,-775,-4.7,-713,-8.6,-1900,Pocheon-si,17,1.28,580,4063,6001.37,17748,18175,14375,20250,75746,2686.5,2530.6
오산시,-5.6,-1352,-12.5,-3000,-13.5,-2875,-0.5,-125,Osan-si,33,1.52,910,3828,5876.02,22779,21000,18500,26075,43919,2848.5,3298.4
은평구,39,17031,43.3,18600,29.4,10450,46.3,23225,Eunpyeong-gu,144,3.69,3660,2577,5814.63,60706,61600,45950,73425,56138,2607.5,3141.2
권선구,15,4436,12.3,3500,4.9,1200,26.1,8700,Gwonseon-gu,55,2.02,1440,3507,5753.13,33919,32000,25500,42000,414589,5346.7,3923.8
시흥시,16.1,4159,4,1000,-3.5,-800,43,11600,Siheung-si,60,1.41,1780,3232,5578.28,29993,26000,22200,38600,168777,3203.6,2968.3
여주시,-18.4,-4116,-19.1,-4250,-15.9,-3025,-24.1,-6488,Yeoju-si,1,0.11,180,3566,5066.54,18242,18000,15975,20388,30891,2985.2,2880.8
처인구,5.4,1350,13.9,3400,5.4,1020,-6.1,-2046,Cheoin-gu,24,1.11,750,3178,4874.92,26478,27900,20020,31400,286682,3968.6,4345.5
이천시,-7.7,-1948,-12,-3050,-9.8,-2000,-9.2,-2800,Icheon-si,21,0.95,490,3101,4609.29,23365,22450,18500,27700,73588,2858.9,2801.5
관악구,41.5,18542,42.9,19350,40.1,16250,44,22000,Gwanak-gu,107,3.87,2550,2190,4599.6,63236,64500,56800,72000,72514,3050,2963.8
안성시,-12.5,-2556,-18.3,-4000,-14.1,-2375,-14.1,-3275,Anseong-si,16,0.9,580,2941,4441.79,17913,17850,14525,19925,79073,3261.7,2986.4
금천구,51.1,18812,35,12525,22.7,7500,84.8,33275,Geumcheon-gu,48,3.11,1700,2254,4170.06,55614,48300,40500,72500,205185,3195,2767
중구,45.4,27893,45.4,27250,40.2,22375,50.1,33700,Jung-gu,20,2.77,910,-506,-148.24,89295,87250,78000,101000,542973,4292.2,4308.4
